0.010891591 127.0.0.1:6633 127.0.0.1:59395 32 0x1f6a1118 0x1f6a10c8 10 2147483647 44032 573 45056
0.088567817 10.0.0.2:34276 10.0.0.1:5001 32 0xa13d1075 0xa13cd23d 11 2147483647 29184 15051 29696
0.095250187 10.0.0.2:34276 10.0.0.1:5001 32 0xa13d2715 0xa13cdd8d 13 2147483647 34816 14769 29696
0.100498604 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 40960
0.106650594 10.0.0.2:34276 10.0.0.1:5001 32 0xa13d3db5 0xa13ce8dd 15 2147483647 40960 15360 29696
0.112600989 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 46592
0.118776716 10.0.0.2:34276 10.0.0.1:5001 32 0xa13d5455 0xa13cf42d 17 2147483647 46592 17302 29696
0.124730138 10.0.0.1:5001 10.0.0.2:34276 1480 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 52224
0.131793076 10.0.0.2:34276 10.0.0.1:5001 32 0xa13d6af5 0xa13cff7d 19 2147483647 52224 20520 29696
0.138050322 10.0.0.2:34276 10.0.0.1:5001 44 0xa13d7645 0xa13d0525 20 2147483647 55296 24964 29696
0.143048239 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 60928
0.149351032 10.0.0.2:34276 10.0.0.1:5001 44 0xa13d7bed 0xa13d0525 19 14 60928 28038 29696
0.155354377 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 67072
0.162405841 10.0.0.2:34276 10.0.0.1:5001 44 0xa13d7bed 0xa13d0525 17 14 67072 32141 29696
0.168383073 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 72704
0.175444110 10.0.0.2:34276 10.0.0.1:5001 44 0xa13d873d 0xa13d0525 17 14 72704 36527 29696
0.180373087 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 78336
0.187383789 10.0.0.2:34276 10.0.0.1:5001 44 0xa13d8ce5 0xa13d0525 16 14 78336 41996 29696
0.191557960 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 84480
0.198462938 10.0.0.2:34276 10.0.0.1:5001 44 0xa13d8ce5 0xa13d0525 14 14 84480 46853 29696
0.204564432 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 90112
0.211591775 10.0.0.2:34276 10.0.0.1:5001 44 0xa13d9835 0xa13d0525 14 14 90112 52484 29696
0.216718033 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 95744
0.223016578 10.0.0.2:34276 10.0.0.1:5001 44 0xa13da385 0xa13d0525 14 14 95744 57538 29696
0.227963897 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 101376
0.234357790 10.0.0.2:34276 10.0.0.1:5001 44 0xa13daed5 0xa13d0525 14 14 101376 63388 29696
0.240764919 10.0.0.1:5001 10.0.0.2:34276 1480 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 107520
0.248044238 10.0.0.2:34276 10.0.0.1:5001 44 0xa13dba25 0xa13d0525 14 14 107520 68299 29696
0.253189617 10.0.0.1:5001 10.0.0.2:34276 1480 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 113152
0.254195217 10.0.0.2:34276 10.0.0.1:5001 44 0xa13dbfcd 0xa13d0acd 14 14 110080 73761 29696
0.258147849 10.0.0.1:5001 10.0.0.2:34276 1480 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 116224
0.259389586 10.0.0.2:34276 10.0.0.1:5001 32 0xa13dc575 0xa13d0acd 14 14 113152 79069 29696
0.264227675 10.0.0.1:5001 10.0.0.2:34276 1480 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 118784
0.265304265 10.0.0.2:34276 10.0.0.1:5001 32 0xa13dc575 0xa13d7bed 14 14 116224 83185 29696
0.270302998 10.0.0.1:5001 10.0.0.2:34276 1480 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 121856
0.270359551 10.0.0.2:34276 10.0.0.1:5001 32 0xa13dd0c5 0xa13d8195 15 14 118784 85663 29696
0.277406919 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 124928
0.284659640 10.0.0.2:34276 10.0.0.1:5001 32 0xa13ddc15 0xa13d873d 15 14 121856 88459 29696
0.289237442 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 130560
0.296240397 10.0.0.2:34276 10.0.0.1:5001 32 0xa13de765 0xa13d9835 15 14 130560 91068 29696
0.300588391 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 136192
0.306837408 10.0.0.2:34276 10.0.0.1:5001 32 0xa13df2b5 0xa13da385 15 14 136192 90276 29696
0.312655681 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 142336
0.318884421 10.0.0.2:34276 10.0.0.1:5001 32 0xa13dfe05 0xa13daed5 15 14 142336 89480 29696
0.324803381 10.0.0.1:5001 10.0.0.2:34276 1480 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 147968
0.331775790 10.0.0.2:34276 10.0.0.1:5001 32 0xa13e0955 0xa13dba25 15 14 147968 88871 29696
0.331837483 10.0.0.1:5001 10.0.0.2:34276 1480 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 151040
0.338058889 10.0.0.2:34276 10.0.0.1:5001 32 0xa13e14a5 0xa13dbfcd 15 14 151040 88239 29696
0.349054377 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 159744
0.355969963 10.0.0.2:34276 10.0.0.1:5001 32 0xa13e2b45 0xa13dd0c5 16 14 159744 86587 29696
0.362534917 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 165376
0.369870936 10.0.0.2:34276 10.0.0.1:5001 32 0xa13e3695 0xa13ddc15 16 14 165376 86483 29696
0.374610473 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 171008
0.381903711 10.0.0.2:34276 10.0.0.1:5001 32 0xa13e41e5 0xa13de765 16 14 171008 86335 29696
0.386743381 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 177152
0.393904434 10.0.0.2:34276 10.0.0.1:5001 32 0xa13e4d35 0xa13df2b5 16 14 177152 86264 29696
