0.009060699 127.0.0.1:6633 127.0.0.1:42269 32 0xf8828da 0xf88288a 10 2147483647 44032 3060 45056
20.105269980 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5d0a4f 0x5c5cccf3 11 2147483647 28672 15676 29696
20.105824301 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5d1577 0x5c5cd287 12 2147483647 31744 15383 29696
20.106590890 127.0.0.1:6633 127.0.0.1:42268 92 0x9d42d082 0x9d42d082 10 2147483647 44032 6444 45056
20.111065941 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5d209f 0x5c5cd81b 13 2147483647 34816 15195 29696
20.116986104 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 40448
20.117936694 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5d2bc7 0x5c5cddaf 14 2147483647 37376 15687 29696
20.123159514 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 43520
20.123248833 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5d36ef 0x5c5ce343 15 2147483647 40448 16977 29696
20.129358144 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5d4217 0x5c5ce8d7 16 2147483647 43520 18769 29696
20.129572694 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 46080
20.136330770 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5d4d3f 0x5c5cee6b 17 2147483647 46080 21100 29696
20.141252430 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 52224
20.142106816 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5d5867 0x5c5cf3ff 18 2147483647 49152 24013 29696
20.147453959 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5d638f 0x5c5cf993 19 2147483647 52224 27283 29696
20.147947343 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 55296
20.154998493 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5d6eb7 0x5c5cff27 20 2147483647 55296 30813 29696
20.160059420 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 60928
20.160136821 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5d79df 0x5c5d04bb 21 2147483647 57856 33185 29696
20.166904374 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5d8507 0x5c5d0a4f 22 2147483647 60928 35901 29696
20.167216288 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 64000
20.174114704 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5d902f 0x5c5d0fe3 23 2147483647 64000 39129 29696
20.179187822 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5d9b57 0x5c5d1577 24 2147483647 66560 42854 29696
20.179312513 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 69632
20.185621414 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5d9b57 0x5c5d1577 24 2147483647 69632 46673 29696
20.190512345 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 75776
20.190642759 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5da0eb 0x5c5d1577 24 2147483647 72704 50166 29696
20.196589434 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 78336
20.196653222 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5da67f 0x5c5d1577 23 16 75776 53847 29696
20.202647382 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 81408
20.202786187 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5da67f 0x5c5d1577 23 16 78336 56957 29696
20.208597621 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 84480
20.208802955 10.0.0.2:48357 10.0.0.1:5001 60 0x5c5dac13 0x5c5d1577 22 16 81408 60446 29696
20.214726953 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 87040
20.215779076 10.0.0.2:48357 10.0.0.1:5001 60 0x5c5dac13 0x5c5d1577 22 16 84480 63588 29696
20.220824847 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 90112
20.220884790 10.0.0.2:48357 10.0.0.1:5001 60 0x5c5dac13 0x5c5d1577 22 16 87040 66447 29696
20.226836305 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 93184
20.226953246 10.0.0.2:48357 10.0.0.1:5001 60 0x5c5db1a7 0x5c5d1577 20 16 90112 69586 29696
20.232911719 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 95744
20.233635722 10.0.0.2:48357 10.0.0.1:5001 60 0x5c5db1a7 0x5c5d1577 20 16 93184 72220 29696
20.238920951 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 98816
20.239886655 10.0.0.2:48357 10.0.0.1:5001 60 0x5c5db73b 0x5c5d1577 20 16 95744 75360 29696
20.245013299 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 101888
20.245112034 10.0.0.2:48357 10.0.0.1:5001 60 0x5c5dbccf 0x5c5d1577 19 16 98816 78172 29696
20.251081551 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 104960
20.251170809 10.0.0.2:48357 10.0.0.1:5001 60 0x5c5dbccf 0x5c5d1577 19 16 101888 81280 29696
20.257140333 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 107520
20.257283945 10.0.0.2:48357 10.0.0.1:5001 60 0x5c5dc263 0x5c5d1577 19 16 104960 84093 29696
20.257574088 127.0.0.1:6633 127.0.0.1:42268 92 0x9d42d0b2 0x9d42d0b2 10 2147483647 44032 4936 45056
20.263292928 10.0.0.2:48357 10.0.0.1:5001 60 0x5c5dc7f7 0x5c5d1577 18 16 107520 87317 29696
20.269187316 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 113664
20.269264908 10.0.0.2:48357 10.0.0.1:5001 60 0x5c5dc7f7 0x5c5d1577 18 16 110592 89944 29696
20.275293874 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 116224
20.275379863 10.0.0.2:48357 10.0.0.1:5001 60 0x5c5dcd8b 0x5c5d1577 18 16 113664 92990 29696
20.282236011 10.0.0.2:48357 10.0.0.1:5001 60 0x5c5dd31f 0x5c5d1577 17 16 116224 95781 29696
20.283304000 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 119296
20.293636405 10.0.0.2:48357 10.0.0.1:5001 60 0x5c5dd31f 0x5c5d1577 16 16 119296 99080 29696
20.297523140 127.0.0.1:6633 127.0.0.1:42268 32 0x9d42d152 0x9d42d102 10 2147483647 44032 4321 45056
20.299654024 10.0.0.2:48357 10.0.0.1:5001 60 0x5c5dd31f 0x5c5d1577 16 16 124928 102535 29696
20.305587668 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 131072
20.306657496 10.0.0.2:48357 10.0.0.1:5001 60 0x5c5dde47 0x5c5d1577 16 16 128000 105411 29696
20.311625398 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 134144
20.311687948 10.0.0.2:48357 10.0.0.1:5001 60 0x5c5de3db 0x5c5d1577 16 16 131072 108798 29696
20.317686016 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 136704
20.317817964 10.0.0.2:48357 10.0.0.1:5001 60 0x5c5de96f 0x5c5d1577 16 16 134144 110967 29696
20.323765109 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 139776
20.323927262 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5def03 0x5c5d1577 16 16 136704 113004 29696
20.329819237 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 142848
20.330908411 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5dfa2b 0x5c5d36ef 16 16 139776 115378 29696
20.335887687 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 145408
20.336045932 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5dfa2b 0x5c5d36ef 16 16 142848 116981 29696
20.341941162 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 148480
20.342129012 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5e0553 0x5c5dac13 16 16 145408 117859 29696
20.347990966 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 151552
20.348136038 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5e107b 0x5c5db1a7 17 16 148480 118291 29696
20.354049577 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 154624
20.354191501 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5e160f 0x5c5db73b 17 16 151552 117826 29696
20.360076293 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 157184
20.360214578 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5e1ba3 0x5c5dbccf 17 16 154624 117394 29696
20.367034269 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 160256
20.373235451 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5e26cb 0x5c5dc7f7 17 16 160256 115526 29696
20.378231661 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 165888
20.379306712 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5e2c5f 0x5c5dcd8b 17 16 163328 114090 29696
20.384324541 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 168960
20.384410748 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5e31f3 0x5c5dd31f 17 16 165888 112828 29696
20.390361175 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 172032
20.391447141 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5e3787 0x5c5dd8b3 17 16 168960 109326 29696
20.396423723 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 174592
20.396574090 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5e3d1b 0x5c5dde47 17 16 172032 107142 29696
20.402431576 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 177664
20.403436356 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5e4843 0x5c5de3db 18 16 174592 104994 29696
20.409412014 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 180736
20.416088209 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5e536b 0x5c5def03 18 16 180736 101867 29696
20.420685260 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 185856
20.421346216 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5e536b 0x5c5def03 18 16 183808 100658 29696
20.427627144 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 185856
20.434214309 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5e5e93 0x5c5def03 17 12 185856 97844 29696
20.439660617 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 185856
20.445962699 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5e6427 0x5c5def03 16 12 185856 97180 29696
20.450959695 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 185856
20.452064813 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5e6427 0x5c5def03 16 12 185856 97268 29696
20.456955649 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 185856
20.457876567 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5e69bb 0x5c5def03 16 12 185856 97354 29696
20.463026539 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 185856
20.463146373 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5e6f4f 0x5c5def03 15 12 185856 97402 29696
20.469118685 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 185856
20.469277124 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5e6f4f 0x5c5def03 15 12 185856 97261 29696
20.475172870 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 185856
20.476173403 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5e74e3 0x5c5def03 15 12 185856 97117 29696
20.481112192 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 185856
20.481263759 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5e7a77 0x5c5def03 14 12 185856 97092 29696
20.488177659 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 185856
20.494540547 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5e800b 0x5c5def03 14 12 185856 97024 29696
20.499388741 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 185856
20.499694279 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5e859f 0x5c5def03 13 12 185856 97153 29696
20.505436070 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 185856
20.506522423 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5e859f 0x5c5def03 12 12 185856 97905 29696
20.511489648 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 185856
20.511641177 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5e859f 0x5c5def03 12 12 185856 98561 29696
20.517532457 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 185856
20.518585723 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5e8b33 0x5c5def03 12 12 185856 99044 29696
20.523575832 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 185856
20.524551445 10.0.0.2:48357 10.0.0.1:5001 52 0x5c5e90c7 0x5c5def03 12 12 185856 98827 29696
20.529638113 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 185856
20.529753906 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5e965b 0x5c5def03 12 12 185856 98618 29696
20.535690050 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 188928
20.536980622 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5ea183 0x5c5e5e93 12 12 185856 99291 29696
20.542582989 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5eacab 0x5c5e6427 13 12 188928 99068 29696
20.542704275 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 192000
20.549704176 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5eb23f 0x5c5e69bb 13 12 192000 98006 29696
20.554660761 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 197632
20.555676723 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5eb7d3 0x5c5e6f4f 13 12 194560 97240 29696
20.559876682 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 200704
20.560951707 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5ebd67 0x5c5e74e3 13 12 197632 95893 29696
20.567006370 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 203264
20.573934747 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5ec88f 0x5c5e800b 13 12 203264 92551 29696
20.578964190 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 209408
20.585829175 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5ed94b 0x5c5e8b33 14 12 209408 87954 29696
20.590692562 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 215040
20.591729306 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5ededf 0x5c5e90c7 14 12 212480 85371 29696
20.596259166 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 218112
20.597564398 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5ee473 0x5c5e965b 14 12 215040 83105 29696
20.603212548 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 221184
20.610183102 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5eef9b 0x5c5ea183 14 12 221184 80220 29696
20.615267878 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 226816
20.622588034 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5efac3 0x5c5eacab 14 12 226816 79208 29696
20.627363223 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 232960
20.628404129 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5f0057 0x5c5eb23f 14 12 229888 79311 29696
20.633452717 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 235520
20.634455935 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5f05eb 0x5c5eb7d3 14 12 232960 79241 29696
20.639231407 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 238592
20.639683478 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5f0b7f 0x5c5ebd67 14 12 235520 79188 29696
20.645541120 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 241664
20.646527780 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5f1113 0x5c5ec2fb 14 12 238592 79136 29696
20.651687799 10.0.0.1:5001 10.0.0.2:48357 1480 0xd7649a44 0xd7649a44 10 2147483647 29696 16000 244224
20.652707340 10.0.0.2:48357 10.0.0.1:5001 40 0x5c5f16a7 0x5c5ec88f 14 12 241664 79205 29696
